year,IBTrACS_ID,TC_name,NatCatSERVICE_ID,genesis_basin,countries_affected,ISO3,v_land_SI,v_land_kn,34kn_pop,34kn_assets,64kn_pop,64kn_assets,96kn_pop,96kn_assets
1953,1953146N14278,ALICE,,NA,multi,NIC,18.7,36.4,2100,24887708,0,0,0,0
1953,1953146N14278,ALICE,,NA,multi,USA,28.7,55.8,659629,1.37E+11,0,0,0,0
1953,1953148N08150,JUDY,,WP,multi,JPN,49.6,96.4,4061712,5.50E+11,797643,1.10E+11,0,0
1953,1953148N08150,JUDY,,WP,multi,PHL,64.7,125.8,12571974,98426299743,3264715,29093884581,28389,735582022
1953,1953148N08150,JUDY,,WP,multi,TWN,36.7,71.3,18848569,3.89E+12,8530,2918739074,0,0
1953,1953165N10109,UNNAMED,,WP,multi,CHN,18.4,35.8,144447,2034551777,0,0,0,0
1953,1953165N10109,UNNAMED,,WP,multi,LAO,20.5,39.9,223492,2183787475,0,0,0,0
1953,1953165N10109,UNNAMED,,WP,multi,VNM,21.7,42.2,2663666,15766983807,0,0,0,0
1953,1953172N08142,UNNAMED,,WP,single,PHL,32.2,62.6,10203624,68159586346,0,0,0,0
1953,1953176N05150,UNNAMED,,WP,multi,CHN,49.9,96.9,99798107,2.34E+12,3740889,86534433832,0,0
1953,1953176N05150,UNNAMED,,WP,multi,KOR,37.7,73.3,23699175,3.01E+12,85684,32229931336,0,0
1953,1953176N05150,UNNAMED,,WP,multi,PRK,39.3,76.5,6643700,2080656706,1375368,2080595876,0,0
1953,1953176N05150,UNNAMED,,WP,multi,TWN,61.6,119.7,18189772,3.94E+12,13626777,2.76E+12,3039489,7.00E+11
1953,1953188N38125,KIT,,WP,multi,KOR,24.3,47.3,249017,87166957845,0,0,0,0
1953,1953188N38125,KIT,,WP,multi,PRK,23.5,45.7,1177481,835316169,0,0,0,0
1953,1953193N26279,UNNAMED,,NA,single,USA,20.2,39.3,477772,84941168405,0,0,0,0
1953,1953205N17158,LOLA,,WP,single,JPN,42.6,82.8,1237370,2.06E+11,0,0,0,0
1953,1953211N19130,MAMIE,,WP,single,JPN,54.7,106.4,8194,1220940667,0,0,0,0
1953,1953219N08155,NINA,,WP,multi,CHN,66.3,128.9,95995669,2.06E+12,26937307,5.77E+11,11247882,2.32E+11
1953,1953219N08155,NINA,,WP,multi,JPN,69.6,135.3,87488,10942259916,44519,4982047655,44472,4982047655
1953,1953221N17118,UNNAMED,,WP,single,CHN,29,56.3,4741606,1.04E+11,0,0,0,0
1953,1953222N17127,OPHELIA,,WP,multi,CHN,60.6,117.7,8186617,1.84E+11,3987517,91564700949,580774,14035658484
1953,1953222N17127,OPHELIA,,WP,multi,LAO,43.7,85,3179045,23836143503,253354,2424963099,0,0
1953,1953222N17127,OPHELIA,,WP,multi,PHL,26,50.5,6296299,28860909910,0,0,0,0
1953,1953222N17127,OPHELIA,,WP,multi,THA,38.9,75.6,6305629,43500148991,182566,1213021997,0,0
1953,1953222N17127,OPHELIA,,WP,multi,VNM,45.1,87.6,28636952,1.61E+11,8022751,43353542316,0,0
1953,1953223N23286,BARBARA,,NA,multi,BHS,22.9,44.5,1032,63759342,0,0,0,0
1953,1953223N23286,BARBARA,,NA,multi,CAN,45.6,88.6,483876,57169890492,135910,12850509676,0,0
1953,1953223N23286,BARBARA,,NA,multi,USA,45.5,88.5,4796265,1.05E+12,634934,1.55E+11,0,0
